id,title,status,status_label,date,sort_year,confidence,lat,lng,summary,note,sources
notte-street-2010,"Notte Street, City Centre",found,Found UXO,11 November 2010,2010,Confirmed incident,50.36836,-4.1395,"Demolition workers uncovered a partially buried WWII device at a building site on Notte Street. A 300m cordon forced the evacuation of nearby hotels, including the Holiday Inn and Duke of Cornwall, before the 70kg bomb was taken out to Cawsand Bay and detonated at sea.",A second device was found at the same site the following February (2011) — a reminder that more than one wartime bomb can lie beneath a single redevelopment site.,"Heart Plymouth: Unexploded WW2 bomb made safe (https://www.heart.co.uk/plymouth/news/local/unexploded-ww2-bomb-made-safe/); BBC News: Bomb detonated off Cawsand Bay (https://feeds.bbci.co.uk/news/uk-england-devon-11742273); BBC News: Plymouth city centre roads closed as WWII bomb found, Feb 2011 (https://feeds.bbci.co.uk/news/uk-england-devon-12559094)"
devonport-park-2010,"Devonport Park, Stoke",found,Found UXO,December 2010,2010,Confirmed incident,50.37573,-4.17485,"A suspected WWII-era device was uncovered in Devonport Park, prompting a 200m police cordon while bomb disposal specialists assessed it — weeks after the Notte Street find nearby.","Police said the device was not thought to be ""viable"" and the cordon was lifted without a controlled detonation.",BBC News: Unexploded bomb found in Plymouth park (https://feeds.bbci.co.uk/news/uk-england-devon-11960573)
keyham-2024,"St Michael Avenue, Keyham",found,Found UXO,20-23 February 2024,2024,Confirmed incident,50.3869,-4.17221,"A 500kg German WWII bomb was found in a back garden on St Michael Avenue. A 300m cordon led to an estimated 3,250 people and around 4,300 properties being evacuated before the device was moved by military convoy to the Torpoint Ferry slipway for disposal at sea.",Described by the Ministry of Defence as one of the largest UK peacetime evacuations since the Second World War.,"Plymouth City Council: Keyham incident updates (https://www.plymouth.gov.uk/news/major-incident-updates); BBC News: Live coverage, February 2024 (https://feeds.bbci.co.uk/news/live/uk-england-devon-68354617)"
millbay-2026,Bath Street / Millbay,found,Found UXO,14-15 January 2026,2026,Confirmed incident,50.36875,-4.15093,"A magnetometer survey ahead of a housing development uncovered a German SC50 bomb buried around 4.3m deep on Bath Street (also reported as Martin Street). The cordon grew from 100m to 400m, covering nearby homes, businesses, hotels, and Millbay Academy, before the device was transferred to King Point Marina.",Investigators returned to the same site in May and again in July 2026 to check for further buried ordnance before construction could resume.,"Plymouth City Council: Millbay UXO incident (https://www.plymouth.gov.uk/news/unexploded-ordnance-millbay-building-site); The Herald: Search for bombs on building site, 14 Jul 2026 (https://www.magzter.com/stories/newspaper/The-Herald/SEARCH-FOR-BOMBS-ON-BUILDING-SITE)"
southway-2026,"Flamborough Road, Southway",found,Found UXO,29 April - 1 May 2026,2026,Confirmed incident,50.42974,-4.1253,"A 250kg German SC250 bomb was found on a building site during construction works. Judged too unstable to move, it was destroyed in a controlled detonation on 1 May behind a sand mitigation structure, after a 400m cordon and evacuation affecting roughly 1,260 properties.","The evacuation centre at Southway Youth and Community Centre supported more than 50 residents, with 25 households placed in temporary accommodation.",Plymouth City Council: Southway emergency incident (https://www.plymouth.gov.uk/news/southway-emergency-incident); ITV News West Country: bomb detonated in situ (https://www.itv.com/news/westcountry/2026-05-01/stay-away-from-area-warning-as-ww2-bomb-to-be-blown-up-where-it-was-found); LocalGov: WWII bomb discovered on Plymouth building site (https://www.localgov.co.uk/WWII-bomb-discovered-on-Plymouth-building-site/64294)
swilly-road-1940,Swilly Road,historic,Historic bombing area,6 July 1940,1940,Approximate point,50.39755,-4.16928,"The first bombs to fall on Plymouth landed just before midday on a block of eight Corporation houses in Swilly Road, destroying three and killing a 33-year-old woman, a 58-year-old man, and a 13-year-old boy — the city's first civilian casualties of the war.","This is the opening entry in the Town Clerk's wartime 'bomb book', now held at The Box. Some secondary sources (citing Gill, 1993) place this first raid in the neighbouring North Prospect area rather than Swilly Road by name; the two are adjoining streets in the same district and casualty/date details agree. Replace with a street-level archival coordinate if publishing a formal public archive.",Plymouth City Council: Death / Destruction (https://www.plymouth.gov.uk/deathdestruction); The Box: Blitz 80 - The Bomb Book (https://www.theboxplymouth.com/blog/archives/blitz-80-the-bomb-book); Wikipedia: Plymouth Blitz (https://en.wikipedia.org/wiki/Plymouth_Blitz)
city-centre-1941,City Centre,historic,Historic bombing area,March to April 1941,1941,Rough area,50.371,-4.142,"The central shopping and civic areas were devastated during the seven heaviest nights of the Blitz, part of a citywide toll of 1,174 civilians killed, 3,209 injured, and over 4,000 properties destroyed outright.",This should become a polygon or cluster once individual raid reports from the bomb book are digitised.,Plymouth City Council: Death / Destruction (https://www.plymouth.gov.uk/deathdestruction); The Box: Blitz 80 - Images from the archives (https://www.theboxplymouth.com/blog/history/blitz-80-archive-images)
portland-square-1941,"Portland Square, North Hill",historic,Historic bombing site,22 April 1941,1941,"Confirmed site, building-level",50.37577,-4.13807,"A communal air-raid shelter at Portland Square took a direct hit during an attack on the central area, killing 76 people — the single greatest loss of civilian life in the Plymouth Blitz. Only three people in the shelter survived.",The University of Plymouth later named a building on the site after the incident and commissioned a memorial artwork; the victims are listed on the Imperial War Museum's War Memorials register.,Wikipedia: Plymouth Blitz (https://en.wikipedia.org/wiki/Plymouth_Blitz); IWM: Portland Square Air Raid Shelter Victims memorial (https://www.iwm.org.uk/memorials/item/memorial/46036); University of Plymouth: 75th anniversary of the Portland Square bombing (https://www.plymouth.ac.uk/news/university-to-mark-75th-anniversary-of-portland-square-bombing)
charles-church-1941,"Charles Church, Charles Cross",historic,Historic bombing site,20-21 March 1941,1941,"Confirmed site, building-level",50.37157,-4.13453,"Plymouth's second-oldest church was gutted by incendiary bombs on the Blitz's heaviest night; nearby water mains had already been cut, so the fire couldn't be fought.","Rather than rebuild it, the city preserved the shell as a permanent memorial to the Blitz's civilian dead — it still stands roofless on its traffic island at Charles Cross today.","Historic England: Preserved in Ruin (https://historicengland.org.uk/whats-new/features/blitz-stories/preserved-in-ruin/); Wikipedia: Charles Church, Plymouth (https://en.wikipedia.org/wiki/Charles_Church,_Plymouth)"
st-andrews-church-1941,"St Andrew's Church, Royal Parade",historic,Historic bombing site,20-22 March 1941,1941,"Confirmed site, building-level",50.36974,-4.13983,"Plymouth's civic parish church was burnt out during the heaviest nights of the Blitz. Amid the ruins, a local headmistress nailed up a wooden sign reading ""Resurgam"" - ""I shall rise again"".","The door is still known as the Resurgam door, marked today by a carved granite plaque; the church was reconsecrated on St Andrew's Day, 30 November 1957.","Wikipedia: St Andrew's Church, Plymouth (https://en.wikipedia.org/wiki/St_Andrew%27s_Church,_Plymouth); Old Plymouth Society: A brief history of St Andrew's Church (https://oldplymouthsociety.net/a-brief-history-of-st-andrews-church/)"
