id,lat,lng,category,source
potential-map2-0001,50.41507,-4.16149,undifferentiated,1940s-map
potential-map2-0002,50.41470,-4.16043,undifferentiated,1940s-map
potential-map2-0003,50.41425,-4.18514,undifferentiated,1940s-map
potential-map2-0004,50.41423,-4.13597,undifferentiated,1940s-map
potential-map2-0005,50.41407,-4.18635,undifferentiated,1940s-map
potential-map2-0006,50.41385,-4.18885,undifferentiated,1940s-map
potential-map2-0007,50.41376,-4.18502,undifferentiated,1940s-map
potential-map2-0008,50.41376,-4.13500,undifferentiated,1940s-map
potential-map2-0009,50.41380,-4.12437,undifferentiated,1940s-map
potential-map2-0010,50.41375,-4.12275,undifferentiated,1940s-map
potential-map2-0011,50.41340,-4.21418,undifferentiated,1940s-map
potential-map2-0012,50.41340,-4.18627,undifferentiated,1940s-map
potential-map2-0013,50.41329,-4.12532,undifferentiated,1940s-map
potential-map2-0014,50.41311,-4.18808,undifferentiated,1940s-map
potential-map2-0015,50.41296,-4.18362,undifferentiated,1940s-map
potential-map2-0016,50.41302,-4.13472,undifferentiated,1940s-map
potential-map2-0017,50.41282,-4.18474,undifferentiated,1940s-map
potential-map2-0018,50.41258,-4.18612,undifferentiated,1940s-map
potential-map2-0019,50.41254,-4.18333,undifferentiated,1940s-map
potential-map2-0020,50.41249,-4.18425,undifferentiated,1940s-map
potential-map2-0021,50.41232,-4.18700,undifferentiated,1940s-map
potential-map2-0022,50.41188,-4.18541,undifferentiated,1940s-map
potential-map2-0023,50.41196,-4.18431,undifferentiated,1940s-map
potential-map2-0024,50.41189,-4.14680,undifferentiated,1940s-map
potential-map2-0025,50.41177,-4.18630,undifferentiated,1940s-map
potential-map2-0026,50.41176,-4.18304,undifferentiated,1940s-map
potential-map2-0027,50.41146,-4.20777,undifferentiated,1940s-map
potential-map2-0028,50.41121,-4.18522,undifferentiated,1940s-map
potential-map2-0029,50.41122,-4.18452,undifferentiated,1940s-map
potential-map2-0030,50.41132,-4.15587,undifferentiated,1940s-map
potential-map2-0031,50.41116,-4.18275,undifferentiated,1940s-map
potential-map2-0032,50.41090,-4.18585,undifferentiated,1940s-map
potential-map2-0033,50.41053,-4.19738,undifferentiated,1940s-map
potential-map2-0034,50.41059,-4.18250,undifferentiated,1940s-map
potential-map2-0035,50.41046,-4.21696,undifferentiated,1940s-map
potential-map2-0036,50.41004,-4.18583,undifferentiated,1940s-map
potential-map2-0037,50.41035,-4.18583,undifferentiated,1940s-map
potential-map2-0038,50.41038,-4.14335,undifferentiated,1940s-map
potential-map2-0039,50.41007,-4.18652,undifferentiated,1940s-map
potential-map2-0040,50.40998,-4.19743,undifferentiated,1940s-map
potential-map2-0041,50.40999,-4.18241,undifferentiated,1940s-map
potential-map2-0042,50.40983,-4.18485,undifferentiated,1940s-map
potential-map2-0043,50.40967,-4.18365,undifferentiated,1940s-map
potential-map2-0044,50.40965,-4.14335,undifferentiated,1940s-map
potential-map2-0045,50.40949,-4.21665,undifferentiated,1940s-map
potential-map2-0046,50.40938,-4.18230,undifferentiated,1940s-map
potential-map2-0047,50.40920,-4.15088,undifferentiated,1940s-map
potential-map2-0048,50.40913,-4.13242,undifferentiated,1940s-map
potential-map2-0049,50.40878,-4.18216,undifferentiated,1940s-map
potential-map2-0050,50.40870,-4.21422,undifferentiated,1940s-map
potential-map2-0051,50.40869,-4.18375,undifferentiated,1940s-map
potential-map2-0052,50.40872,-4.13185,undifferentiated,1940s-map
potential-map2-0053,50.40843,-4.21518,undifferentiated,1940s-map
potential-map2-0054,50.40857,-4.14888,undifferentiated,1940s-map
potential-map2-0055,50.40854,-4.13098,undifferentiated,1940s-map
potential-map2-0056,50.40858,-4.12905,undifferentiated,1940s-map
potential-map2-0057,50.40844,-4.13309,undifferentiated,1940s-map
potential-map2-0058,50.40826,-4.15627,undifferentiated,1940s-map
potential-map2-0059,50.40829,-4.15340,undifferentiated,1940s-map
potential-map2-0060,50.40838,-4.10968,undifferentiated,1940s-map
